S.No,Station Name,Code,Category,Division,Zone,District,State,Awarded Date
242,"CHENNAI BEACH",MSB,NSG-2,"CHENNAI",SR,"Chennai","Tamil Nadu",2026-01-01
243,"TIRUR",TIR,NSG-3,"PALAKKAD",SR,"Malappuram","Kerala",2026-01-29
244,"TIRUCHIRAPALLI FORT",TP,NSG-5,"TIRUCHIRAPALLI",SR,"Tiruchirappalli","Tamil Nadu",2026-01-01
245,"PALAKKAD",PGT,NSG-2,"PALAKKAD",SR,"Palakkad","Kerala",2026-01-01
246,"SHORANUR",SRR,NSG-3,"PALAKKAD",SR,"Palakkad","Kerala",2026-01-29
247,"KOTTAYAM",KTYM,NSG-3,"THIRUVANANTHAPURAM",SR,"Kottayam","Kerala",2026-01-01
248,"VADAKARA",BDJ,NSG-3,"PALAKKAD",SR,"Kozhikode","Kerala",2026-01-01
249,"THANJAVUR",TJ,NSG-3,"TIRUCHIRAPALLI",SR,"Thanjavur","Tamil Nadu",2026-01-01
250,"NAGAPATTINAM",NGT,NSG-3,"TIRUCHIRAPALLI",SR,"Nagapattinam","Tamil Nadu",2026-01-01
251,"VELANKANNI",VLKN,NSG-5,"TIRUCHIRAPALLI",SR,"Nagapattinam","Tamil Nadu",2026-01-01
252,"NEYYATTINKARA",NYY,NSG-5,"THIRUVANANTHAPURAM",SR,"Thiruvananthapuram","Kerala",2026-01-29
253,"KOZHIKODE",CLT,NSG-2,"PALAKKAD",SR,"Kozhikode","Kerala",2026-01-29
254,"POLLACHI",POY,NSG-5,"PALAKKAD",SR,"Coimbatore","Tamil Nadu",2026-01-29
255,"BALLY",BLY,SG-3,"Howrah",ER,"Howrah","West Bengal",2026-03-30
256,"HOWRAH",HWH,NSG-1,"Howrah",ER,"Howrah","West Bengal",2026-03-30
257,"CHALAKKUDI",CKI,NSG-5,"THIRUVANANTHAPURAM",SR,"Thrissur","Kerala",2026-03-30
258,"RAMESWARAM",RMM,NSG-3,"Madurai",SR,"Ramanathapuram","Tamil Nadu",2026-03-30
259,"KANNUR",CAN,NSG-2,"PALAKKAD",SR,"Kannur","Kerala",2026-03-30
260,"ANGAMALY",AFK,NSG-4,"THIRUVANANTHAPURAM",SR,"Ernakulam","Kerala",2026-03-30
261,"SRIRANGAM",SRGM,NSG-5,"TIRUCHIRAPALLI",SR,"Tiruchirappalli","Tamil Nadu",2026-03-30
262,"BADARPUR",BPB,NSG-5,"LUMDING",NFR,"Karimganj","Assam",2026-03-30
263,"DIPHU",DPU,NSG-5,"LUMDING",NFR,"Karbi Anglong","Assam",2026-03-30
264,"ATTUR",ATU,NSG-5,"SALEM",SR,"Salem","Tamil Nadu",2026-03-30
265,"SILCHAR",SCL,NSG-4,"LUMDING",NFR,"Cachar","Assam",2026-03-30
266,"SARUPATHPAR",SZR,NSG-5,"LUMDING",NFR,"Golaghat","Assam",2026-03-30
267,"NEW HAFLONG",NHLG,NSG-4,"LUMDING",NFR,"Dima Hasao","Assam",2026-03-30
268,"LUMBDING",LMG,NSG-4,"LUMDING",NFR,"Hojai","Assam",2026-03-30
269,"JAGIROAD",JID,NSG-5,"LUMDING",NFR,"Marigaon","Assam",2026-03-30
270,"KARIMGANJ",KXJ,NSG-3,"LUMDING",NFR,"Karimganj","Assam",2026-03-30
271,"LANKA",LKA,NSG-5,"LUMDING",NFR,"Hojai","Assam",2026-03-30
272,"HOJAI",HJI,NSG-5,"LUMDING",NFR,"Hojai","Assam",2026-03-30
273,"TALEGAON",TGN,SG-3,"Pune",CR,"Pune Municipal Corporation","Maharashtra",2026-03-30
274,"KARAD",KRD,NSG-5,"Pune",CR,"Satara","Maharashtra",2026-03-30
275,"SANGLI",SLI,NSG-4,"Pune",CR,"Sangli","Maharashtra",2026-03-30
276,"HADAPSAR",HDP,NSG-6,"Pune",CR,"Pune Municipal Corporation","Maharashtra",2026-03-30
277,"AKURDI",AKRD,SG-3,"Pune",CR,"Pune Municipal Corporation","Maharashtra",2026-03-30
278,"BARAMATI",BRMT,NSG-5,"Pune",CR,"Pune Municipal Corporation","Maharashtra",2026-03-30
279,"CHAPARMUKH",CPKK,NSG-5,"LUMDING",NFR,"Nagaon","Assam",2026-03-30
280,"KOVILPATTI",CVP,NSG-3,"Madurai",SR,"Thoothukkudi","Tamil Nadu",2026-03-30
281,"ROURKELA",ROU,NSG-3,"Chakradharpur",SER,"SUNDARGARH(EXCEPT MUNICIPAL CORPORATION)","Orissa",2026-03-30
282,"UDHAGAMANDALAM",UAM,NSG-4,"SALEM",SR,"The Nilgiris","Tamil Nadu",2026-03-30
283,"JHARSUGUDA",JSG,NSG-3,"Chakradharpur",SER,"JHARSUGUDA","Orissa",2026-03-30
284,"BARGARH",BRG,NSG-5,"Sambalpur",ECOR,"BARAGARH","Orissa",2026-03-30
285,"SAMBALPUR",SBP,NSG-3,"Sambalpur",ECOR,"SAMBALPUR MUNICIPAL CORPORATION","Orissa",2026-03-30
286,"TITILAGARH",TIG,NSG-4,"Sambalpur",ECOR,"BOLANGIR","Orissa",2026-03-30
287,"THIRUCHENDUR",TCN,NSG-4,"Madurai",SR,"Thoothukkudi","Tamil Nadu",2026-03-30
288,"KUMBAKONAM",KMU,NSG-3,"TIRUCHIRAPALLI",SR,"Thanjavur","Tamil Nadu",2026-03-30
289,"HASSAN",HAS,NSG-4,"Mysuru",CR,"Hassan","Karnataka",2026-03-30
290,"CUDDALORE PORT",CUPJ,NSG-5,"TIRUCHIRAPALLI",SR,"Cuddalore","Tamil Nadu",2026-03-30
291,"TENI",TENI,NSG-5,"Madurai",SR,"Theni","Tamil Nadu",2026-03-30
292,"TIRUPPUR",TUP,NSG-3,"SALEM",SR,"Tirupur","Tamil Nadu",2026-06-02
293,"KASARAGOD",KGQ,NSG-3,"PALAKKAD",SR,"Kasaragod","Kerala",2026-06-02
294,"KANHANGAD",KZE,NSG-4,"PALAKKAD",SR,"Kasaragod","Kerala",2026-06-02
295,"TIRUCHIRAPPALLI",TPJ,NSG-2,"TIRUCHIRAPALLI",SR,"Tiruchirappalli","Tamil Nadu",2026-06-02
296,"KARUR",KRR,NSG-4,"SALEM",SR,"Karur","Tamil Nadu",2026-06-02
