Extracted 294 records
81 | BALLARSHAH | BPQ | NSG-3 | CR | Chandrapur | Maharashtra
82 | CHANDRAPUR | CD | NSG-4 | CR | Chandrapur | Maharashtra
83 | KHURAI | KYE | NSG-5 | WCR | Sagar | Madhya Pradesh
84 | MAKRONIA | MKRN | NSG-5 | WCR | Sagar | Madhya Pradesh
85 | PRAYAGRAJ RAMBAGH | PRRB | NSG-4 | NCR | Prayagraj | Uttar Pradesh
86 | HARDOI | HRI | NSG-3 | NR | Hardoi | Uttar Pradesh
87 | GONDIA | GY | NSG-3 | SECR | Gondiya | Maharashtra
88 | WANKANER | WKR | NSG-5 | WR | Rajkot | Gujarat
89 | BOTAD | BTD | NSG-4 | WR | Botad | Gujarat
90 | AMALNER | AN | NSG-5 | WR | Jalgaon | Maharashtra
91 | DONDAICHA | DDE | NSG-4 | WR | Dhule | Maharashtra
93 | ORAI | ORAI | NSG-4 | NCR | Jalaun | Uttar Pradesh
94 | VADNAGAR | VDG | NSG-6 | WR | Mahesana | Gujarat
95 | PAYYANUR | PAY | NSG-3 | SR | Kannur | Kerala
96 | PAYANGADI | PAZ | NSG-5 | SR | Kannur | Kerala
97 | HOSHIARPUR | HSX | NSG-5 | NR | Hoshiarpur | Punjab
98 | MALDA TOWN | MLDT | NSG-3 | ER | Maldah | West Bengal
99 | KHALTIPUR | KTJ | NSG-5 | ER | Maldah | West Bengal
100 | JALANDHAR CITY | JUC | NSG-2 | NR | Jalandhar | Punjab
101 | ANANDPUR SAHIB | ANSB | NSG-5 | NR | Rupnagar | Punjab
102 | NAGDA | NAD | NSG-4 | WR | Ujjain | Madhya Pradesh
103 | UJJAIN | UJN | NSG-2 | WR | Ujjain | Madhya Pradesh
104 | JAORA | JAO | NSG-5 | WR | Ratlam | Madhya Pradesh
105 | CHANDIGARH | CDG | NSG-2 | NR | Chandigarh | Chandigarh
106 | RAJPURA | RPJ | NSG-4 | NR | Patiala | Punjab
107 | DHURI | DUI | NSG-5 | NR | Sangrur | Punjab
109 | ARIYALUR | ALU | NSG-5 | SR | Ariyalur | Tamil Nadu
110 | MAHIM | MM | SG-1 | WR | Greater Mumbai | Maharashtra
111 | SHEGAON | SEG | NSG-3 | CR | Buldana | Maharashtra
112 | NASHIK ROAD | NK | NSG-2 | CR | Nashik | Maharashtra
113 | ANDHERI | ADH | SG-1 | WR | Greater Mumbai | Maharashtra
114 | MAHALAXMI | MX | SG-2 | WR | Greater Mumbai | Maharashtra
115 | BORIVALI | BVI | SG-1 | WR | Greater Mumbai | Maharashtra
116 | MATUNGA ROAD | MRU | SG-2 | WR | Greater Mumbai | Maharashtra
117 | GRANT ROAD | GTR | SG-2 | WR | Greater Mumbai | Maharashtra
118 | CHURCHGATE | CCG | SG-1 | WR | Greater Mumbai | Maharashtra
119 | BHAYANDER | BYR | SG-1 | WR | Mira Bhayander Municipal Corporation (Thane Zone-7) | Maharashtra
120 | JOGESHWARI | JOS | SG-1 | WR | Greater Mumbai | Maharashtra
121 | PRABHADEVI | PBHD | SG-2 | WR | Greater Mumbai | Maharashtra
122 | GOREGAON | GMN | SG-1 | WR | Greater Mumbai | Maharashtra
123 | DAHISAR | DIC | SG-1 | WR | Greater Mumbai | Maharashtra
124 | DADAR | DDR | NSG-1 | WR | Greater Mumbai | Maharashtra
125 | BANDRA TERMINUS | BDTS | NSG-2 | WR | Greater Mumbai | Maharashtra
126 | NALLASOPARA | NSP | SG-1 | WR | Palghar | Maharashtra
127 | BANDRA LOCAL | BA | NSG-2 | WR | Greater Mumbai | Maharashtra
128 | KANDIVALI | KILE | SG-1 | WR | Greater Mumbai | Maharashtra
129 | MALAD | MDD | SG-1 | WR | Greater Mumbai | Maharashtra
130 | VASAI ROAD | BSR | SG-1 | WR | Greater Mumbai | Maharashtra
131 | VIRAR | VR | SG-1 | WR | Palghar | Maharashtra
132 | MARINE LINE | MEL | SG-2 | WR | Greater Mumbai | Maharashtra
133 | CHARNI ROAD | CYR | SG-2 | WR | Greater Mumbai | Maharashtra
134 | SANTACRUZ | STC | SG-1 | WR | Greater Mumbai | Maharashtra
135 | NAIGAON | NIG | SG-2 | WR | Palghar | Maharashtra
136 | MUMBAI CENTRAL | MMCT | NSG-1 | WR | Greater Mumbai | Maharashtra
137 | VILE PARLEY | VLP | SG-1 | WR | Greater Mumbai | Maharashtra
138 | KHAR ROAD | KHAR | SG-1 | WR | Greater Mumbai | Maharashtra
139 | LOWER PAREL | PL | SG-2 | WR | Greater Mumbai | Maharashtra
140 | ROORKEE | RK | NSG-3 | NR | Hardwar | Uttarakhand
141 | YOG NAGRI RISHIKESH | YNRK | NSG-5 | NR | Dehradun | Uttarakhand
142 | HARIDWAR | HW | NSG-2 | NR | Hardwar | Uttarakhand
143 | NEW DELHI | NDLS | NSG-1 | NR | New Delhi | Delhi
144 | OLD DELHI | DLI | NSG-1 | NR | New Delhi | Delhi
145 | HAZRAT NIZAMUDDIN | NZM | NSG-1 | NR | New Delhi | Delhi
146 | ANAND VIHAR TERMINAL | ANVT | NSG-2 | NR | New Delhi | Delhi
147 | DELHI SHAHDARA | DSA | NSG-3 | NR | New Delhi | Delhi
148 | DELHI CANTT | DEC | NSG-3 | NR | New Delhi | Delhi
149 | CHARBAGH  LUCKNOW | LKO | NSG-2 | NR | Lucknow | Uttar Pradesh
150 | DELHI SARAI ROHILLA | DEE | NSG-2 | NR | New Delhi | Delhi
151 | OKHLA | OKA | NSG-5 | NR | New Delhi | Delhi
152 | LALKUAN | LKU | NSG-4 | NER | Nainital | Uttarakhand
153 | MANINAGAR | MAN | NSG-4 | WR | Ahmedabad | Gujarat
154 | TALALA | TAV | NSG-6 | WR | Gir Somnath | Gujarat
155 | UNJHA | UJA | NSG-4 | WR | Mahesana | Gujarat
156 | KATHGODAM | KGM | NSG-3 | NER | Nainital | Uttarakhand
157 | NILAMBUR | NIL | NSG-5 | SR | Palakkad | Kerala
